operation,start_ns,end_ns,duration_ns,label
encapsulation,4671564235712,4671564247531,11819,after
decapsulation,4671564248319,4671564261542,13223,after
key_generation,4671564262360,4671564273521,11161,after
encapsulation,4671564274325,4671564286103,11778,after
decapsulation,4671564286902,4671564300006,13104,after
key_generation,4671564300819,4671564312718,11899,after
encapsulation,4671564313494,4671564325335,11841,after
decapsulation,4671564326137,4671564339168,13031,after
key_generation,4671564339956,4671564351087,11131,after
encapsulation,4671564351870,4671564363585,11715,after
decapsulation,4671564364376,4671564377416,13040,after
key_generation,4671564378224,4671564389751,11527,after
encapsulation,4671564390520,4671564402712,12192,after
decapsulation,4671564403565,4671564417144,13579,after
key_generation,4671564418904,4671564429985,11081,after
encapsulation,4671564430761,4671564442523,11762,after
decapsulation,4671564443275,4671564456514,13239,after
key_generation,4671564457381,4671564468446,11065,after
encapsulation,4671564469221,4671564481080,11859,after
decapsulation,4671564481900,4671564494965,13065,after
key_generation,4671564495782,4671564506983,11201,after
encapsulation,4671564507775,4671564519827,12052,after
decapsulation,4671564520648,4671564533703,13055,after
key_generation,4671564534554,4671564545670,11116,after
encapsulation,4671564546476,4671564558239,11763,after
decapsulation,4671564559019,4671564572268,13249,after
key_generation,4671564573083,4671564584559,11476,after
encapsulation,4671564585358,4671564597586,12228,after
decapsulation,4671564598377,4671564611935,13558,after
key_generation,4671564612789,4671564623832,11043,after
encapsulation,4671564624594,4671564636410,11816,after
decapsulation,4671564637209,4671564650204,12995,after
key_generation,4671564651057,4671564662173,11116,after
encapsulation,4671564662969,4671564674710,11741,after
decapsulation,4671564675541,4671564688951,13410,after
key_generation,4671564689899,4671564701029,11130,after
encapsulation,4671564701821,4671564713835,12014,after
decapsulation,4671564714645,4671564727811,13166,after
key_generation,4671564728624,4671564739697,11073,after
encapsulation,4671564740483,4671564752287,11804,after
decapsulation,4671564753073,4671564766276,13203,after
key_generation,4671564767073,4671564778195,11122,after
encapsulation,4671564779054,4671564791039,11985,after
decapsulation,4671564791847,4671564804943,13096,after
key_generation,4671564805809,4671564816903,11094,after
encapsulation,4671564817721,4671564829598,11877,after
decapsulation,4671564830387,4671564843553,13166,after
key_generation,4671564844398,4671564855476,11078,after
encapsulation,4671564856256,4671564870389,14133,after
decapsulation,4671564871200,4671564884302,13102,after
key_generation,4671564885117,4671564896198,11081,after
encapsulation,4671564897019,4671564908815,11796,after
decapsulation,4671564909631,4671564922662,13031,after
key_generation,4671564923511,4671564934813,11302,after
encapsulation,4671564935580,4671564947628,12048,after
decapsulation,4671564948416,4671564961540,13124,after
key_generation,4671564963267,4671564974813,11546,after
encapsulation,4671564975592,4671564988230,12638,after
decapsulation,4671564989083,4671565003621,14538,after
key_generation,4671565004588,4671565016396,11808,after
encapsulation,4671565017181,4671565029454,12273,after
decapsulation,4671565030272,4671565043890,13618,after
key_generation,4671565044711,4671565055776,11065,after
encapsulation,4671565056562,4671565068565,12003,after
decapsulation,4671565069355,4671565082416,13061,after
key_generation,4671565083289,4671565094412,11123,after
encapsulation,4671565095201,4671565107050,11849,after
decapsulation,4671565107839,4671565121128,13289,after
key_generation,4671565122028,4671565133164,11136,after
encapsulation,4671565133960,4671565145625,11665,after
decapsulation,4671565146429,4671565159570,13141,after
key_generation,4671565160378,4671565171609,11231,after
encapsulation,4671565172404,4671565184177,11773,after
decapsulation,4671565184986,4671565198209,13223,after
key_generation,4671565199050,4671565210279,11229,after
encapsulation,4671565211066,4671565223038,11972,after
decapsulation,4671565223873,4671565236929,13056,after
key_generation,4671565237769,4671565248974,11205,after
encapsulation,4671565249829,4671565261617,11788,after
decapsulation,4671565262421,4671565275507,13086,after
key_generation,4671565276326,4671565287474,11148,after
encapsulation,4671565288255,4671565300117,11862,after
decapsulation,4671565300919,4671565314031,13112,after
key_generation,4671565314900,4671565326021,11121,after
encapsulation,4671565326847,4671565338570,11723,after
decapsulation,4671565339368,4671565352619,13251,after
key_generation,4671565353463,4671565364686,11223,after
encapsulation,4671565365463,4671565377301,11838,after
decapsulation,4671565378115,4671565391261,13146,after
key_generation,4671565392127,4671565403184,11057,after
encapsulation,4671565403950,4671565415674,11724,after
decapsulation,4671565416481,4671565430785,14304,after
key_generation,4671565431615,4671565442901,11286,after
encapsulation,4671565443676,4671565455659,11983,after
decapsulation,4671565456438,4671565469968,13530,after
key_generation,4671565470809,4671565481900,11091,after
encapsulation,4671565482693,4671565494493,11800,after
decapsulation,4671565495281,4671565508451,13170,after
key_generation,4671565509249,4671565520527,11278,after
encapsulation,4671565522468,4671565534549,12081,after
decapsulation,4671565535371,4671565548605,13234,after
key_generation,4671565549370,4671565570035,20665,after
encapsulation,4671565570971,4671565584246,13275,after
decapsulation,4671565585133,4671565599954,14821,after
key_generation,4671565600941,4671565613474,12533,after
encapsulation,4671565614371,4671565627714,13343,after
decapsulation,4671565628696,4671565643448,14752,after
key_generation,4671565644483,4671565657299,12816,after
encapsulation,4671565658170,4671565671460,13290,after
decapsulation,4671565672363,4671565687275,14912,after
key_generation,4671565688167,4671565700941,12774,after
encapsulation,4671565701845,4671565715666,13821,after
decapsulation,4671565716745,4671565732480,15735,after
key_generation,4671565733436,4671565746899,13463,after
encapsulation,4671565747889,4671565762214,14325,after
decapsulation,4671565763172,4671565778172,15000,after
key_generation,4671565779227,4671565792344,13117,after
encapsulation,4671565793261,4671565807923,14662,after
decapsulation,4671565808822,4671565824241,15419,after
key_generation,4671565825293,4671565838120,12827,after
encapsulation,4671565839158,4671565853799,14641,after
decapsulation,4671565854986,4671565870375,15389,after
key_generation,4671565871655,4671565884281,12626,after
encapsulation,4671565885198,4671565898479,13281,after
decapsulation,4671565899409,4671565914378,14969,after
key_generation,4671565915394,4671565928464,13070,after
encapsulation,4671565929390,4671565943647,14257,after
decapsulation,4671565944623,4671565959432,14809,after
key_generation,4671565960424,4671565973964,13540,after
encapsulation,4671565974883,4671565988823,13940,after
decapsulation,4671565989785,4671566006651,16866,after
key_generation,4671566008150,4671566020888,12738,after
encapsulation,4671566021864,4671566035519,13655,after
decapsulation,4671566036462,4671566053093,16631,after
key_generation,4671566054218,4671566067466,13248,after
encapsulation,4671566068500,4671566081924,13424,after
decapsulation,4671566082842,4671566098119,15277,after
key_generation,4671566099087,4671566111761,12674,after
encapsulation,4671566112622,4671566126234,13612,after
decapsulation,4671566127167,4671566141973,14806,after
key_generation,4671566142892,4671566155485,12593,after
encapsulation,4671566157431,4671566171186,13755,after
decapsulation,4671566172102,4671566187396,15294,after
key_generation,4671566188467,4671566201824,13357,after
encapsulation,4671566202824,4671566216224,13400,after
decapsulation,4671566217226,4671566232052,14826,after
key_generation,4671566233024,4671566245662,12638,after
encapsulation,4671566246542,4671566259818,13276,after
decapsulation,4671566260785,4671566275685,14900,after
key_generation,4671566276689,4671566289591,12902,after
encapsulation,4671566290495,4671566304433,13938,after
decapsulation,4671566305290,4671566320348,15058,after
key_generation,4671566321791,4671566334562,12771,after
encapsulation,4671566335441,4671566348738,13297,after
decapsulation,4671566349628,4671566364527,14899,after
